Row ID,Customer ID,Customer Name,Segment,Country Name,Region,State,City,Postal Code,Order ID,Order Date,Sales,Discount,Profit,Quantity,Category,Sub-Category,Product Name,Product ID
7981,DP-13000,Darren Powers,Consumer,United States,Central,Texas,Houston,77095,CA-2018-103800,1/3/2018,$16 ,20.00%,$6 ,2,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",OFF-PA-10000174
740,PO-19195,Phillina Ober,Home Office,United States,Central,Illinois,Naperville,60540,CA-2018-112326,1/4/2018,$12 ,20.00%,$4 ,3,Office Supplies,Labels,Avery 508,OFF-LA-10003223
741,PO-19195,Phillina Ober,Home Office,United States,Central,Illinois,Naperville,60540,CA-2018-112326,1/4/2018,$273 ,20.00%,($65),3,Office Supplies,Storage,SAFCO Boltless Steel Shelving,OFF-ST-10002743
742,PO-19195,Phillina Ober,Home Office,United States,Central,Illinois,Naperville,60540,CA-2018-112326,1/4/2018,$4 ,80.00%,($5),2,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,OFF-BI-10004094
1760,MB-18085,Mick Brown,Consumer,United States,East,Pennsylvania,Philadelphia,19143,CA-2018-141817,1/5/2018,$20 ,20.00%,$5 ,3,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",OFF-AR-10003478
5328,LS-17230,Lycoris Saunders,Consumer,United States,West,California,Los Angeles,90049,CA-2018-130813,1/6/2018,$19 ,0.00%,$9 ,3,Office Supplies,Paper,Xerox 225,OFF-PA-10002005
7181,JO-15145,Jack O'Briant,Corporate,United States,South,Georgia,Athens,30605,CA-2018-106054,1/6/2018,$13 ,0.00%,$5 ,3,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",OFF-AR-10002399
7475,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,"$2,574 ",0.00%,$746 ,9,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063
7476,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,$610 ,0.00%,$274 ,2,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,OFF-BI-10004632
7477,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,$5 ,0.00%,$1 ,2,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,OFF-AR-10001662
7478,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,$392 ,0.00%,$114 ,2,Technology,Phones,GE 30524EE4,TEC-PH-10004977
7479,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,$756 ,0.00%,$204 ,4,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,TEC-PH-10004539
7480,ME-17320,Maria Etezadi,Home Office,United States,South,Kentucky,Henderson,42420,CA-2018-167199,1/6/2018,$31 ,0.00%,$0 ,4,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",OFF-FA-10001883
